Mr_t_exp,Mt_t_exp,Mr_c_exp,Mt_c_exp,Mr_t,Mt_t,Mr_c,Mt_c,ecc
-2.499579999,-1.208526825,3.681099795,2.156717059,-2.867170021,-1.301099018,3.712987941,2.307854842,18.13867
-0.350771955,-0.15027203,1.004337649,0.690405196,0.120835255,0.093866546,0.120835255,0.093866546,0
-2.709608846,-1.277156763,3.626743049,2.241714503,-2.985498955,-1.336933812,3.763752042,2.292228492,18.15842
-3.528884797,-1.845551082,5.259826842,3.151499114,-3.020157372,-2.084516263,6.850696296,3.154029557,23.10311
-3.650259475,-1.788847018,5.088033902,3.063670445,-4.310458362,-2.253115545,5.514326305,3.311400154,24.65976
-1.148493055,-0.450427424,1.383796213,1.035002193,-1.125400942,-0.469449667,1.462241642,0.98143757,12.65613
-2.809784931,-1.293866644,3.536739842,2.222396089,-2.536795138,-1.177512121,3.040812569,1.878353788,23.28433
-2.159728586,-0.901660408,2.366390328,1.626776414,-1.559205785,-0.694900611,2.121326317,1.323816806,19.94448
-2.232464002,-0.943647254,2.546180572,1.761375889,-2.426597187,-0.800488423,2.076564817,1.796347861,19.55759
-1.878138359,-0.907361649,2.973565173,1.771007135,-1.668895991,-0.582129987,2.678274377,1.953302333,10.53869
-0.280894436,-0.051123471,0.760073237,0.490341855,0.121404373,0.090704795,0.121404373,0.090704796,0
-0.195617339,-0.100278867,1.027060175,0.623541982,0.188266509,0.141367489,0.188266509,0.141367489,0
-2.97995133,-1.537244575,4.562560278,2.681074586,-2.597921984,-1.560792561,4.871256667,2.537656471,21.82935
0.309622404,0.241455798,-0.204352727,0.045942901,0.134433279,0.098118057,0.134433279,0.098118057,0
0.202447459,0.17912028,-0.019399944,0.120820912,0.162547724,0.126152217,0.162547724,0.126152217,0
-2.045440689,-0.92496385,2.55923415,1.721992655,-2.380330753,-0.893628191,1.909714709,1.80991337,17.65903
-3.471392042,-1.818423285,5.132238315,3.09431069,-3.213564012,-2.168238565,6.081644477,3.250490989,23.88442
0.205585954,0.315608581,-0.526808239,-0.10335369,0.108477372,0.074530633,0.108477372,0.074530633,0
-2.741067213,-1.312773992,3.723603456,2.330648967,-2.251836771,-1.257949262,3.473812774,1.898526563,22.6272
-2.646039381,-1.353673438,4.166562339,2.432536041,-2.817373715,-1.413830002,4.141485209,2.362904913,16.46495
-0.433137058,-0.166083334,1.136356296,0.696856124,0.16417437,0.124805698,0.16417437,0.124805698,0
-1.569098238,-0.528286627,1.33728826,1.109569114,-1.785864403,-0.468480291,0.896417479,1.173335531,14.8372
0.478464292,0.348320348,-0.601819353,-0.092375408,0.109051366,0.079089578,0.109051366,0.079089578,0
-1.224829972,-0.414849645,1.319791791,0.962743579,-1.074317468,-0.401395164,1.449382714,0.897644586,13.57181
-1.96891923,-0.836369297,2.35837784,1.619917825,-2.084345368,-0.809861389,2.199456775,1.599784358,16.04674
-1.723402094,-0.766493985,2.381880199,1.557034502,-1.917579521,-0.605233453,2.557120566,1.965033096,11.87947
-0.006744886,0.061780924,0.245660406,0.300762794,0.12510231,0.096675544,0.12510231,0.096675544,0
-3.148675486,-1.630999647,4.802132971,2.835205615,-3.525016441,-1.895323036,4.99256292,2.968309818,19.96641
-2.287175641,-1.030749644,3.060800269,1.880841878,-2.318479532,-0.946028039,2.990176332,1.854178146,17.7116
-1.811252202,-0.850868344,2.567467604,1.605730702,-1.778642735,-0.746061566,2.526825267,1.736998999,14.56306
-1.578075135,-0.592832292,1.834634144,1.23304867,-1.322682493,-0.518204821,2.041280178,1.199736226,14.68401
0.479387128,0.399865527,-0.821675071,-0.190023312,0.152290293,0.11187965,0.152290293,0.11187965,0
-2.07938039,-0.983538201,3.122968746,1.877867385,-2.253989528,-0.959900771,2.95620748,2.035887639,14.32757
-2.199754534,-1.069987918,3.392440498,1.98855999,-1.991923319,-0.860395229,3.38750827,2.147547782,12.66008
-2.213092856,-0.990474542,2.784494636,1.803525416,-1.909093036,-0.939240716,2.819897734,1.765708536,16.68107
0.652312997,0.514414923,-1.043376372,-0.418156246,0.131923876,0.090440169,0.131923876,0.090440169,0
-2.634577884,-1.317840365,3.756386315,2.360690877,-2.899217525,-1.542435607,3.813203241,2.43088131,19.37319
-2.830024228,-1.330934726,3.525467338,2.326474548,-2.457650574,-1.249631102,3.307044894,1.979391974,23.61208
-2.708756476,-1.19555788,3.248235152,2.105772815,-2.753838581,-1.056320371,2.729370623,2.02235552,22.2993
-2.598686066,-1.302339072,4.015142186,2.315057897,-2.895486255,-1.406460898,4.011348541,2.472468251,17.76392
-1.565579445,-0.696325608,2.05851828,1.404743841,-1.704285261,-0.517439374,2.457233433,1.831753797,13.91499
0.586838786,0.43978898,-0.822545788,-0.254967893,0.10159006,0.069312432,0.10159006,0.069312432,0
-0.35662656,-0.18606078,1.19873798,0.72715168,0.140334671,0.103231204,0.140334671,0.103231204,0
-3.296199207,-1.646482891,4.650423533,2.840462076,-2.877672812,-1.787026286,4.89242212,2.742405929,25.59192
0.110074368,0.08706279,0.242272513,0.326053143,0.091523936,0.068034653,0.091523936,0.068034653,0
-1.35082861,-0.551142119,1.624883168,1.197053237,-1.601625139,-0.467162183,1.301270351,1.328243832,14.21935
-1.883699926,-0.821497645,2.365696664,1.558669063,-1.536058692,-0.744451292,2.445121056,1.569207025,14.27874
-1.794166875,-0.851721736,2.786515705,1.687987394,-1.972896753,-0.556024358,2.628507678,1.982770717,10.51234
-2.735162387,-1.398320003,4.032478873,2.495014985,-2.847277061,-1.482803226,4.241091148,2.66413803,19.61261
-1.948216157,-0.915707456,2.924015716,1.798445597,-1.974917866,-0.857980915,2.731464917,1.90638541,12.24641
-0.163005017,-0.052847088,0.918359615,0.504478723,0.165160974,0.124042866,0.165160974,0.124042866,0
-2.83319676,-1.356244822,3.938479142,2.409590461,-3.402484242,-1.473522469,4.04645178,2.672351985,17.94787
-1.35915231,-0.670511842,2.335313113,1.43121587,-1.344925708,-0.474599861,2.329970252,1.558549191,10.54702
-2.56797302,-1.221518781,3.704512707,2.183979113,-2.648723828,-1.233428016,3.64612907,2.092095374,16.6186
-2.159564156,-1.079636053,3.132324052,1.955513846,-1.990830412,-1.074667313,3.042680082,1.940526193,16.67509
-1.299528878,-0.502970699,1.510182738,1.116318948,-1.216331484,-0.433639634,1.630108072,1.159637248,14.59127
-3.325755927,-1.632350872,4.731519436,2.770860249,-3.579327289,-1.928028349,5.023851688,2.902458402,24.16414
-2.031290962,-0.877946648,2.603223535,1.626922419,-1.801532729,-0.822428918,2.640257553,1.535010809,17.36068
-2.690121816,-1.248514996,3.444954104,2.194046681,-2.51851619,-1.094393157,2.987817301,1.930827758,23.47132
-2.828963657,-1.368622881,3.786119923,2.379031036,-2.525475142,-1.400371266,3.631861391,2.276779338,22.89035
-2.272668239,-1.181612387,3.68835661,2.184019994,-2.275249081,-1.120587355,3.40398362,2.17315268,13.57751
-1.641330199,-0.733130464,2.095538491,1.445832446,-1.232363068,-0.641270423,2.387119595,1.522601782,13.77061
-2.40902428,-1.224331849,3.899725082,2.25337493,-2.848133202,-1.213882169,3.934761164,2.587196016,16.08179
-1.887930772,-0.928381329,3.171092544,1.825998775,-1.900331743,-0.782861653,2.816589571,1.811773859,11.48893
-1.604179925,-0.800014321,2.707212941,1.591145455,-1.49915752,-0.661968667,2.413481134,1.467550773,11.75739
0.480770802,0.427802571,-0.843268138,-0.240612238,0.187948567,0.148232239,0.187948567,0.148232239,0
0.034526053,0.199225731,-0.008367621,0.085793292,0.150804165,0.112140223,0.150804165,0.112140223,0
-2.62446349,-1.312761235,4.15770453,2.380389729,-2.851803434,-1.299133272,4.086781737,2.539261877,16.50996
-2.260764931,-0.950410224,2.541781116,1.783362275,-2.371105628,-0.880004781,2.042225091,1.684271253,18.52772
0.32634959,0.30151524,-0.538681061,-0.06017763,0.108997737,0.082758844,0.108997737,0.082758844,0
0.018390721,0.199016101,-0.19412146,0.078617981,0.165965305,0.120340351,0.165965305,0.120340351,0
0.509145324,0.521223759,-1.193700763,-0.373763872,0.113415135,0.077617979,0.113415135,0.077617979,0
-3.261123214,-1.559169854,4.489427179,2.686280021,-3.701975927,-1.751631628,5.062396508,2.812862994,22.38854
-3.186786601,-1.436457731,3.818103889,2.422342647,-2.948394234,-1.399382928,3.221261917,2.009642853,25.86314
0.699467955,0.523709808,-1.243819703,-0.413441289,0.10275095,0.073170455,0.10275095,0.073170455,0
-3.084866917,-1.548836348,4.328894455,2.695416126,-3.128537355,-1.844508979,4.586841094,2.77573162,22.65724
-2.264226178,-1.023044458,3.190014183,1.931154521,-2.329145998,-0.989622838,3.362033626,1.907741159,16.26757
-0.520253318,-0.207621779,1.291712392,0.73623842,0.187645135,0.14103281,0.187645135,0.14103281,0
-1.511771806,-0.709379053,2.397745438,1.441376535,-1.196667545,-0.528148543,2.553284733,1.507601657,11.05046
-2.249446589,-1.022346512,3.115821143,1.953354459,-2.278404534,-1.009982404,3.506939652,2.130886184,14.97361
0.484888065,0.418877682,-0.731523722,-0.196314541,0.147365762,0.114186719,0.147365762,0.114186719,0
-0.408547667,-0.119427498,0.988464659,0.646260371,0.134837474,0.094143769,0.134837474,0.094143769,0
0.429910542,0.336813356,-0.439484089,-0.075358042,0.085890417,0.060875695,0.085890417,0.060875695,0
-1.592042902,-0.825254614,2.797940632,1.649363929,-1.462298968,-0.696281812,2.494358338,1.493677782,11.70705
-0.247643351,-0.049286421,0.729990525,0.52555315,0.127360801,0.092314515,0.127360801,0.092314515,0
-1.245409319,-0.488502147,1.30481108,1.066018561,-0.561100542,-0.494447608,1.290892826,1.188999543,13.52785
-3.301174796,-1.659213846,4.884240284,2.871299716,-3.685124709,-1.824599597,5.296312935,3.082002412,22.79774
0.52812333,0.402428388,-0.646798994,-0.198256548,0.132054329,0.104412729,0.132054329,0.104412729,0
-1.95698865,-0.902809284,2.975129205,1.775932785,-2.061246257,-0.882667334,3.192778065,1.993006982,13.48434
-2.345639002,-1.009280463,2.786558995,1.835847105,-2.446372804,-0.880914691,2.381507093,1.852698189,19.65101
-0.329373048,-0.149232887,1.109435695,0.644040848,0.119209619,0.086419457,0.119209619,0.086419457,0
-0.411002357,-0.226587262,1.321390517,0.800138686,0.118047845,0.088145605,0.118047845,0.088145605,0
-2.507431585,-1.09435661,3.00509522,1.976690482,-2.590092686,-1.075474641,2.617941554,1.727205509,21.39991
-2.165057387,-0.961653365,2.826593846,1.771361268,-2.177453763,-0.875334264,2.682277272,1.721604571,17.5322
-2.047628202,-0.851648459,2.375588522,1.564131041,-1.664497485,-0.669790705,1.941879912,1.257349456,19.56863
-3.188908446,-1.523035019,4.236135911,2.598004943,-3.440092011,-1.693958323,4.571379591,2.635395211,21.65405
-2.450358337,-1.06641271,3.113919375,1.979963335,-2.674504155,-0.973039345,2.987533948,1.994184985,19.4179
-3.009437356,-1.456158135,4.276089534,2.524859264,-3.075960228,-1.512003369,4.422565282,2.651454357,21.2662
-1.599247083,-0.68202517,2.268960098,1.408160041,-1.607461877,-0.60187556,2.532796138,1.522014769,12.86958
-3.074728593,-1.451130729,4.094671987,2.504320892,-3.507693885,-1.613637302,4.087354764,2.517420578,21.62787
-2.863961446,-1.393307964,4.276321966,2.486465022,-3.463152153,-1.56225169,4.642349149,3.102833229,18.05287
-1.820164487,-0.868494103,2.551285034,1.648779917,-1.505297807,-0.825987314,2.811536666,1.717650465,13.22564
-2.353863056,-1.049694765,2.771081228,1.855754751,-2.084795222,-0.973246914,2.660579105,1.606370972,19.97654
0.459480455,0.389194854,-0.81705749,-0.235057678,0.116712814,0.080628001,0.116712814,0.080628001,0
-3.206945727,-1.561489647,4.445938728,2.706822564,-3.065081982,-1.699683384,4.31230046,2.472411147,25.08467
-0.012515501,0.067324607,0.51898709,0.307941668,0.16525848,0.129461967,0.16525848,0.129461967,0
-2.882897152,-1.514162708,4.438502852,2.671300043,-2.586239732,-1.56985147,4.994036955,2.572252452,18.39179
-0.205013507,-0.115294647,0.990451948,0.61831081,0.109367113,0.079832074,0.109367113,0.079832074,0
-0.103898579,0.034420038,0.557641649,0.417034623,0.104342586,0.072819071,0.104342586,0.072819071,0
-3.416837731,-1.749089069,5.146573616,3.005513952,-3.503293701,-2.032514658,5.766779523,3.040521578,22.08654
-2.244482444,-1.072728233,3.198856448,1.994384128,-2.361453717,-1.144571412,3.272844366,2.02841019,18.60394
-0.051139915,0.002114536,0.638831914,0.429782951,0.128598632,0.102815186,0.128598632,0.102815186,0
-2.082814577,-0.921475572,2.457269304,1.666949127,-2.310520119,-0.769752441,1.858851788,1.724721551,18.17476
-3.485699622,-1.754543566,5.044546062,3.019720001,-4.191018098,-2.179812553,5.303089415,3.550279639,23.4131
-2.632108917,-1.302140898,3.892823426,2.322731555,-2.913958645,-1.308955582,3.953719819,2.501033416,16.64809
-1.500924727,-0.560616066,1.575702285,1.218530172,-1.682994407,-0.504554904,1.31388082,1.310300514,12.98605
-3.167666838,-1.623143289,4.587161764,2.765985295,-2.390703762,-1.638108704,5.932699491,2.524768746,22.02713
-0.953516033,-0.327224617,1.104748125,0.825312714,-0.965700342,-0.333149125,1.420552254,0.913768537,12.20334
-1.741829291,-0.691833204,1.92024957,1.326519828,-1.876840663,-0.55760701,1.419729059,1.33717745,16.9983
0.021756514,0.044845664,0.37905985,0.386087618,0.140003631,0.108793228,0.140003631,0.108793228,0
-2.68676499,-1.283931842,3.651165278,2.232869616,-2.315399953,-1.243544005,3.662813397,1.923691279,22.24655
0.210567865,0.258380063,-0.374695074,-0.015556501,0.110244565,0.080608775,0.110244565,0.080608775,0
-0.186024161,0.004206908,0.59678745,0.394799202,0.139177488,0.099418542,0.139177488,0.099418542,0
-2.117009225,-0.956027915,2.750630182,1.766827664,-2.272515262,-0.893725933,2.582510914,1.725310271,17.46567
0.719731987,0.531143103,-1.022659037,-0.418506964,0.109900787,0.075082768,0.109900787,0.075082768,0
-2.773277227,-1.197561499,3.186153581,2.078626754,-2.024659292,-0.919254523,2.583594284,1.603706571,24.3914
-3.886096715,-1.98349054,5.654568957,3.333444103,-3.9392097,-2.410949742,7.227551399,3.717580735,25.62625
-3.060823315,-1.406091507,3.912195352,2.392231916,-2.689665762,-1.325857308,3.634000215,2.044790685,24.86927
-3.703045988,-1.809488372,5.17716785,3.095246888,-4.328741202,-2.221589008,5.721837819,3.371612297,24.02745
-2.25131854,-1.079025271,3.497393266,2.031052978,-2.313999388,-0.987265249,3.882516789,2.54409052,13.58474
-2.311319453,-1.064841816,2.865973803,1.940892017,-2.099698496,-0.989300287,2.7415078,1.720790496,19.82906
-1.71582354,-0.892243703,2.850927934,1.774269477,-1.84990379,-0.704973927,2.649164058,1.936540449,12.16571
-2.677492702,-1.308299115,3.641312431,2.28608036,-2.618944149,-1.428659253,3.96070232,2.322163698,19.47831
-0.982988368,-0.386302105,1.306191089,0.927569396,-1.184996237,-0.40790563,1.26143616,0.913759988,11.84652
0.02923267,0.068837211,0.239167091,0.286268986,0.096155672,0.064491759,0.096155672,0.064491759,0
-2.075297965,-0.890913957,2.580632664,1.643981886,-2.122449742,-0.81554579,2.331179726,1.565416089,17.56863
0.333606103,0.344841572,-0.482105019,-0.146692446,0.144268564,0.103563634,0.144268564,0.103563634,0
-3.137109918,-1.551500367,4.544352191,2.66953936,-3.494033222,-1.790123063,4.692727701,2.770020394,21.34079
-1.067571162,-0.307459798,0.957224682,0.829948279,-0.764885095,-0.271208534,1.67409313,0.919407344,10.51368
-2.314563614,-1.227406085,3.906406469,2.264116665,-2.292550357,-1.15636462,3.877495584,2.428422004,14.84204
-2.414959691,-1.017069247,2.884076339,1.871972867,-2.084179409,-0.891816777,2.649119766,1.519785448,21.26841
-2.895293209,-1.482704702,4.605963139,2.629072591,-3.180545061,-1.523394942,5.137728588,2.821523799,18.38702
-2.806264793,-1.411390189,3.954554558,2.436242924,-2.602672923,-1.500500004,3.929112948,2.377346781,21.39161
-1.394374804,-0.541630929,1.627888449,1.192826531,-1.467325978,-0.497073521,1.694473015,1.282996958,11.85647
-2.503747734,-1.149057235,3.411025639,2.105793494,-2.860105896,-1.139402667,3.305677756,2.200182302,17.39883
-3.119494021,-1.592576458,4.652625946,2.731978414,-3.456245664,-1.830257921,5.325984486,3.33994241,21.1653
-0.114870827,0.024245209,0.62524476,0.417536565,0.183953087,0.137458099,0.183953087,0.137458099,0
0.571344711,0.457180315,-0.977189427,-0.334024551,0.11859362,0.084244249,0.11859362,0.084244249,0
-3.270907634,-1.466781419,3.901053242,2.494935544,-3.239839108,-1.459393784,3.166242181,2.209166359,25.24894
-1.034161371,-0.344680202,0.928580182,0.806930185,-1.11229933,-0.315230129,1.240427695,0.910238729,12.0442
0.569235423,0.445066326,-0.863485809,-0.270849561,0.096186638,0.063509705,0.096186639,0.063509705,0
-2.646284896,-1.225752781,3.720335145,2.211038547,-2.880279872,-1.252032163,3.629430941,2.233913052,18.68697
0.00992305,0.129985186,0.268824842,0.203679852,0.136606922,0.106508882,0.136606922,0.106508882,0
-2.438135274,-1.125856277,3.381344174,2.023459753,-2.727318999,-1.049485122,3.300209961,2.126364299,17.85419
0.409198363,0.356914386,-0.711134967,-0.18550472,0.139547393,0.109755384,0.139547393,0.109755384,0
-1.486488377,-0.634674314,1.85836298,1.305279336,-1.652036976,-0.587327788,1.653140215,1.426693095,12.83897
-0.175286858,-0.05564924,0.909912326,0.547650811,0.160866088,0.12551459,0.160866088,0.12551459,0
-2.294637661,-1.228650491,3.871993031,2.214371957,-2.114705075,-1.106406488,3.806225786,2.258497371,14.88396
-2.342851619,-1.033594564,2.907908443,1.870370025,-2.582072269,-0.958599726,2.968267273,1.945973778,16.31875
-3.611542219,-1.684426387,4.520951719,2.813459342,-3.996752208,-1.810984594,4.555876046,2.759445607,25.57157
0.230051619,0.228542204,-0.099047336,0.080043819,0.099776026,0.070194415,0.099776026,0.070194415,0
-2.626543464,-1.36301308,4.119775733,2.399280886,-2.249824799,-1.356241027,4.429401818,2.263488626,19.52809
-2.356839919,-1.126838456,3.341193743,2.076027288,-2.245114069,-1.218822232,3.562863379,2.008063996,18.38503
-0.3910192,-0.106941855,0.906463768,0.62511946,0.172195848,0.124243242,0.172195848,0.124243242,0
-2.486829213,-1.215393947,3.695075213,2.242645681,-2.356183446,-1.186395437,4.369874595,2.611089541,14.97064
-2.582606361,-1.261899829,3.794424833,2.295616598,-2.330149519,-1.215228156,4.270508322,2.394589867,14.90179
-0.219177846,-0.033683723,0.627905979,0.488673556,0.167136175,0.12434841,0.167136175,0.12434841,0
0.2516792,0.246344518,-0.249643204,0.048484897,0.09221409,0.067649294,0.09221409,0.067649294,0
-2.424200123,-1.243530495,3.860533107,2.280173329,-2.537167353,-1.281912816,3.802056392,2.458035823,16.25351
-2.521142457,-1.20263826,3.688515031,2.18396681,-2.587909592,-1.150156168,3.659459137,2.179661319,16.52506
-2.732646659,-1.266626848,3.762622152,2.274509432,-3.02066374,-1.277912801,3.817008462,2.454427481,19.20658
0.200176673,0.233551255,-0.264563444,0.057376685,0.095933615,0.068517461,0.095933615,0.068517461,0
-1.976490381,-0.882425701,2.537626196,1.663564163,-1.871489019,-0.773074041,2.335955785,1.588506862,18.26666
-2.357709193,-1.064767146,2.859040559,1.94280112,-1.914935381,-1.066778215,2.848239797,1.712925001,19.77647
-2.129770937,-1.072827843,3.398504211,1.982378199,-1.852494481,-0.931994998,3.633846071,2.025501943,13.13067
-3.65553523,-1.782554259,5.148622359,3.026458266,-4.362179378,-2.273664658,5.578535515,3.312757606,24.73199
0.484117197,0.423947858,-0.769546278,-0.261044214,0.109426445,0.081031955,0.109426445,0.081031955,0
-1.911940031,-0.827764057,2.291139426,1.573548171,-1.715626556,-0.727813686,2.024640877,1.227071061,18.09572
-2.458886494,-1.259542579,3.686001648,2.239108867,-1.94835115,-1.191382091,4.193699727,1.969544433,16.85785
-2.300052835,-1.04581584,2.800589185,1.892175505,-2.374702681,-1.013478612,2.356725414,1.773828391,19.15489
-3.947087695,-2.013592451,5.879513584,3.433080898,-4.159046913,-2.413503344,7.12640351,3.645056408,25.62521
0.706226685,0.512107503,-1.124828028,-0.425352972,0.07972885,0.058511676,0.07972885,0.058511676,0
-1.879733218,-0.937753147,2.784128795,1.776361053,-1.842122549,-0.798397306,2.597826401,1.932038145,14.0789
-2.124533395,-0.995509895,2.936330713,1.814931144,-1.917032913,-0.962289816,3.056071389,1.625295004,18.14608
-1.742269156,-0.810263664,2.48643623,1.627553905,-1.48170608,-0.694620587,2.462527454,1.611651239,11.89962
-3.707372442,-1.868378332,5.36580873,3.180067971,-3.57632893,-2.175078987,6.309517564,3.216602373,24.87707
0.342359649,0.282437438,-0.367280671,-0.013534956,0.175255397,0.138138698,0.175255397,0.138138698,0
0.449154206,0.432009242,-0.863292328,-0.232022255,0.140560439,0.111002473,0.140560439,0.111002473,0
0.212809758,0.153620853,0.188986428,0.232017692,0.151603774,0.110035849,0.151603774,0.110035849,0
-3.429895117,-1.683629058,4.995863438,2.907155457,-4.345638485,-2.083903168,5.58422937,3.606708259,22.18034
-2.09783254,-0.861135792,2.29839482,1.622259084,-2.135864749,-0.774293569,1.814758896,1.492976659,18.44911
0.316975666,0.22403516,-0.086460612,0.061222786,0.115817871,0.081724756,0.115817873,0.081724756,0
-2.009546222,-0.794464333,2.303405553,1.521066875,-1.798073493,-0.709640732,2.197033984,1.298750227,17.22569
