Mr_t_exp,Mt_t_exp,Mr_c_exp,Mt_c_exp,Mr_t,Mt_t,Mr_c,Mt_c,ecc
-3.132864678,-1.324540422,3.356378506,2.515030845,-3.031225588,-1.143168352,2.425656279,2.207823778,24.59906
-2.529089696,-1.112151399,2.806692135,1.910987628,-2.085589085,-0.88332103,2.313730067,1.471289549,23.14051
-1.374277336,-0.488128251,1.471767958,1.04551255,-1.068381288,-0.425480942,1.585330415,1.056229812,14.60524
-0.373134416,-0.080430866,0.714772817,0.591039705,0.182942849,0.13739352,0.182942849,0.13739352,0
-4.185046505,-1.966430846,5.440317755,3.556720387,-4.683500766,-2.494098613,6.760468327,3.913148395,25.2657
-2.971785164,-1.436450528,4.333381396,2.541001038,-3.003802249,-1.518066137,4.329993436,2.491480583,22.52452
-3.321682105,-1.50435197,4.41806561,2.749888921,-3.599407958,-1.591540252,4.436536753,2.767467163,22.42667
-2.876949558,-1.312809698,3.486552979,2.373786232,-3.210780224,-1.359301244,3.68485714,2.65993646,18.9854
-0.216053995,-0.049915001,0.762847517,0.475031468,0.145269483,0.10736199,0.145269483,0.10736199,0
-1.778293346,-0.821812387,2.109693848,1.42207941,-1.917925029,-0.72860414,1.913055497,1.490460139,16.72554
-2.638355015,-1.24138909,3.629181709,2.309966424,-2.867170021,-1.301099018,3.712987941,2.307854842,18.13867
-0.36631444,-0.123282912,0.991731022,0.711169565,0.120835255,0.093866546,0.120835255,0.093866546,0
-2.738147103,-1.305741185,3.679151368,2.231792854,-2.985498955,-1.336933812,3.763752042,2.292228492,18.15842
-3.318286192,-1.825384902,5.308452057,2.956417143,-3.020157372,-2.084516263,6.850696296,3.154029557,23.10311
-3.799639427,-1.848896881,5.03940251,3.144948645,-4.310458362,-2.253115545,5.514326305,3.311400154,24.65976
-0.963159604,-0.450499727,1.458042705,0.8863278,-1.125400942,-0.469449667,1.462241642,0.98143757,12.65613
-2.77178905,-1.283100943,3.527468831,2.188850257,-2.536795138,-1.177512121,3.040812569,1.878353788,23.28433
-2.116171524,-0.871029969,2.408120779,1.598475465,-1.559205785,-0.694900611,2.121326317,1.323816806,19.94448
-2.400395645,-0.966532992,2.53486467,1.92379258,-2.426597187,-0.800488423,2.076564817,1.796347861,19.55759
-2.019941398,-0.898478112,3.01811667,1.926657248,-1.668895991,-0.582129987,2.678274377,1.953302333,10.53869
-0.292035141,-0.027354822,0.788380519,0.481578587,0.121404373,0.090704795,0.121404373,0.090704796,0
-0.226831543,-0.083096703,1.021062985,0.716902666,0.188266509,0.141367489,0.188266509,0.141367489,0
-2.747437188,-1.530415635,4.588330783,2.481822195,-2.597921984,-1.560792561,4.871256667,2.537656471,21.82935
0.352178307,0.255199414,-0.224563361,0.060491222,0.134433279,0.098118057,0.134433279,0.098118057,0
0.178318886,0.187986111,-0.111580468,0.181190317,0.162547724,0.126152217,0.162547724,0.126152217,0
-2.186810281,-0.964041986,2.398665597,1.850036681,-2.380330753,-0.893628191,1.909714709,1.80991337,17.65903
-3.450372594,-1.797223518,5.032934843,3.11219769,-3.213564012,-2.168238565,6.081644477,3.250490989,23.88442
0.257317034,0.320903339,-0.499526228,-0.223410175,0.108477372,0.074530633,0.108477372,0.074530633,0
-2.536390031,-1.315882267,3.716127421,2.108288194,-2.251836771,-1.257949262,3.473812774,1.898526563,22.6272
-2.576345427,-1.369288502,4.113790452,2.316683584,-2.817373715,-1.413830002,4.141485209,2.362904913,16.46495
-0.55557702,-0.142699666,1.16992627,0.835208888,0.16417437,0.124805698,0.16417437,0.124805698,0
-1.718876468,-0.532416177,1.283794825,1.17666347,-1.785864403,-0.468480291,0.896417479,1.173335531,14.8372
0.578376239,0.328872435,-0.640252056,-0.169096479,0.109051366,0.079089578,0.109051366,0.079089578,0
-1.127884563,-0.429546192,1.312759203,0.818173995,-1.074317468,-0.401395164,1.449382714,0.897644586,13.57181
-2.046434188,-0.848064862,2.343882172,1.658260645,-2.084345368,-0.809861389,2.199456775,1.599784358,16.04674
-1.889571548,-0.803210427,2.240372324,1.637854571,-1.917579521,-0.605233453,2.557120566,1.965033096,11.87947
-0.047809604,0.067134722,0.215159122,0.382812273,0.12510231,0.096675544,0.12510231,0.096675544,0
-3.141253132,-1.63262479,4.70134536,2.798562841,-3.525016441,-1.895323036,4.99256292,2.968309818,19.96641
-2.276691483,-1.001750193,3.117789431,1.875096887,-2.318479532,-0.946028039,2.990176332,1.854178146,17.7116
-1.730668326,-0.837451155,2.563009435,1.558905855,-1.778642735,-0.746061566,2.526825267,1.736998999,14.56306
-1.563619331,-0.598498967,1.858490413,1.169960163,-1.322682493,-0.518204821,2.041280178,1.199736226,14.68401
0.55904514,0.450514426,-0.870054051,-0.26459939,0.152290293,0.11187965,0.152290293,0.11187965,0
-2.183662994,-0.988673144,3.069596278,1.958258862,-2.253989528,-0.959900771,2.95620748,2.035887639,14.32757
-2.238349187,-1.062439655,3.535678498,2.050896317,-1.991923319,-0.860395229,3.38750827,2.147547782,12.66008
-2.234405043,-0.979636647,2.752556417,1.785797484,-1.909093036,-0.939240716,2.819897734,1.765708536,16.68107
0.826827346,0.550735927,-0.967963037,-0.547130534,0.131923876,0.090440169,0.131923876,0.090440169,0
-2.721322626,-1.346967677,3.690845165,2.47992053,-2.899217525,-1.542435607,3.813203241,2.43088131,19.37319
-2.743709676,-1.312709936,3.571594612,2.278709187,-2.457650574,-1.249631102,3.307044894,1.979391974,23.61208
-2.760329902,-1.21195124,3.284820033,2.135084286,-2.753838581,-1.056320371,2.729370623,2.02235552,22.2993
-2.644262422,-1.315152834,3.959398313,2.367614518,-2.895486255,-1.406460898,4.011348541,2.472468251,17.76392
-1.601830136,-0.671166747,1.992282929,1.476694234,-1.704285261,-0.517439374,2.457233433,1.831753797,13.91499
0.795425754,0.457130185,-0.761487234,-0.424415027,0.10159006,0.069312432,0.10159006,0.069312432,0
-0.372313385,-0.194852632,1.20024596,0.776312135,0.140334671,0.103231204,0.140334671,0.103231204,0
-3.224097833,-1.649502127,4.766439109,2.861557373,-2.877672812,-1.787026286,4.89242212,2.742405929,25.59192
0.330596004,0.160798115,0.292939729,0.173942065,0.091523936,0.068034653,0.091523936,0.068034653,0
-1.21284079,-0.545863007,1.662742859,1.089447103,-1.601625139,-0.467162183,1.301270351,1.328243832,14.21935
-1.900598234,-0.807354396,2.33125517,1.536998142,-1.536058692,-0.744451292,2.445121056,1.569207025,14.27874
-1.806940192,-0.852637824,2.85675879,1.686871097,-1.972896753,-0.556024358,2.628507678,1.982770717,10.51234
-2.687315395,-1.394046118,3.946865131,2.458410311,-2.847277061,-1.482803226,4.241091148,2.66413803,19.61261
-2.074788659,-0.958677852,2.862449369,1.859349534,-1.974917866,-0.857980915,2.731464917,1.90638541,12.24641
-0.175943148,-0.041219559,0.844105386,0.527879092,0.165160974,0.124042866,0.165160974,0.124042866,0
-3.066634674,-1.382941947,3.85476741,2.578062676,-3.402484242,-1.473522469,4.04645178,2.672351985,17.94787
-1.438831998,-0.644508629,2.291784889,1.592914564,-1.344925708,-0.474599861,2.329970252,1.558549191,10.54702
-2.515989912,-1.244714452,3.751763705,2.067603624,-2.648723828,-1.233428016,3.64612907,2.092095374,16.6186
-2.126898842,-1.060600529,3.067196052,1.982120798,-1.990830412,-1.074667313,3.042680082,1.940526193,16.67509
-1.182660196,-0.483003343,1.458611222,0.997120736,-1.216331484,-0.433639634,1.630108072,1.159637248,14.59127
-3.475601734,-1.673503552,4.685880009,2.93399933,-3.579327289,-1.928028349,5.023851688,2.902458402,24.16414
-1.999659186,-0.890567808,2.637917445,1.588967546,-1.801532729,-0.822428918,2.640257553,1.535010809,17.36068
-2.770681984,-1.242508881,3.439265707,2.344497997,-2.51851619,-1.094393157,2.987817301,1.930827758,23.47132
-2.828464935,-1.386373985,3.789761487,2.431149715,-2.525475142,-1.400371266,3.631861391,2.276779338,22.89035
-2.253507352,-1.174447073,3.58091164,2.136890999,-2.275249081,-1.120587355,3.40398362,2.17315268,13.57751
-1.568807388,-0.696466864,2.132972856,1.414872254,-1.232363068,-0.641270423,2.387119595,1.522601782,13.77061
-2.570297578,-1.213938761,3.87460815,2.477772027,-2.848133202,-1.213882169,3.934761164,2.587196016,16.08179
-1.88638258,-0.923238913,3.090367103,1.767354627,-1.900331743,-0.782861653,2.816589571,1.811773859,11.48893
-1.380416769,-0.772462369,2.749429701,1.397388042,-1.49915752,-0.661968667,2.413481134,1.467550773,11.75739
0.285205992,0.439572514,-0.957606111,-0.032591647,0.187948567,0.148232239,0.187948567,0.148232239,0
-0.10357255,0.197893116,-0.122082549,0.137040232,0.150804165,0.112140223,0.150804165,0.112140223,0
-2.67214284,-1.288677311,4.103931684,2.400290128,-2.851803434,-1.299133272,4.086781737,2.539261877,16.50996
-2.317075954,-0.947076036,2.532680462,1.773042041,-2.371105628,-0.880004781,2.042225091,1.684271253,18.52772
0.376176469,0.345014111,-0.625615302,-0.117471434,0.108997737,0.082758844,0.108997737,0.082758844,0
-0.137850557,0.172400635,-0.122633418,0.220068309,0.165965305,0.120340351,0.165965305,0.120340351,0
0.576198539,0.515634825,-1.103988998,-0.497611686,0.113415135,0.077617979,0.113415135,0.077617979,0
-3.348499892,-1.605673067,4.597887731,2.758500846,-3.701975927,-1.751631628,5.062396508,2.812862994,22.38854
-3.275979365,-1.506744571,3.854850845,2.48277846,-2.948394234,-1.399382928,3.221261917,2.009642853,25.86314
0.851327603,0.53789032,-1.314880461,-0.567032508,0.10275095,0.073170455,0.10275095,0.073170455,0
-3.17764555,-1.582482168,4.266775351,2.820035951,-3.128537355,-1.844508979,4.586841094,2.77573162,22.65724
-2.244871421,-1.040199911,3.283814983,1.868395439,-2.329145998,-0.989622838,3.362033626,1.907741159,16.26757
-0.720086344,-0.224895455,1.230581532,0.901726115,0.187645135,0.14103281,0.187645135,0.14103281,0
-1.429909229,-0.674605008,2.494666777,1.418131454,-1.196667545,-0.528148543,2.553284733,1.507601657,11.05046
-2.367520259,-1.059205573,3.223034716,2.041473074,-2.278404534,-1.009982404,3.506939652,2.130886184,14.97361
0.428297528,0.447423493,-0.670056101,-0.077915136,0.147365762,0.114186719,0.147365762,0.114186719,0
-0.43873037,-0.148011526,0.975607946,0.586945562,0.134837474,0.094143769,0.134837474,0.094143769,0
0.693717728,0.42205108,-0.354322136,-0.289765776,0.085890417,0.060875695,0.085890417,0.060875695,0
-1.34093073,-0.804498451,2.813163501,1.433497619,-1.462298968,-0.696281812,2.494358338,1.493677782,11.70705
-0.205851723,-0.029046169,0.879084976,0.513442974,0.127360801,0.092314515,0.127360801,0.092314515,0
-1.251555241,-0.505522806,1.221722909,1.086065103,-0.561100542,-0.494447608,1.290892826,1.188999543,13.52785
-3.342648598,-1.623712714,4.921945664,2.960911583,-3.685124709,-1.824599597,5.296312935,3.082002412,22.79774
0.490687778,0.440728577,-0.67694497,-0.086329146,0.132054329,0.104412729,0.132054329,0.104412729,0
-2.10617839,-0.958772083,3.00466037,1.909269315,-2.061246257,-0.882667334,3.192778065,1.993006982,13.48434
-2.392346639,-1.022030054,2.820384306,1.860811888,-2.446372804,-0.880914691,2.381507093,1.852698189,19.65101
-0.249882351,-0.120580771,1.212981119,0.620109259,0.119209619,0.086419457,0.119209619,0.086419457,0
-0.366895071,-0.200740719,1.199797513,0.730724671,0.118047845,0.088145605,0.118047845,0.088145605,0
-2.579795378,-1.164911107,3.044587255,2.023617448,-2.590092686,-1.075474641,2.617941554,1.727205509,21.39991
-2.114829879,-0.94337006,2.981239661,1.766996089,-2.177453763,-0.875334264,2.682277272,1.721604571,17.5322
-1.987639291,-0.848058875,2.465535786,1.539210296,-1.664497485,-0.669790705,1.941879912,1.257349456,19.56863
-3.223869337,-1.556429061,4.292186746,2.593820737,-3.440092011,-1.693958323,4.571379591,2.635395211,21.65405
-2.632115001,-1.065764864,3.120330031,2.134429945,-2.674504155,-0.973039345,2.987533948,1.994184985,19.4179
-3.092841981,-1.43150193,4.234306337,2.600976862,-3.075960228,-1.512003369,4.422565282,2.651454357,21.2662
-1.627196078,-0.687538805,2.33071282,1.441740013,-1.607461877,-0.60187556,2.532796138,1.522014769,12.86958
-3.145630736,-1.49642722,4.162206645,2.547015263,-3.507693885,-1.613637302,4.087354764,2.517420578,21.62787
-3.19011037,-1.451584846,4.134823563,2.745643697,-3.463152153,-1.56225169,4.642349149,3.102833229,18.05287
-1.885529101,-0.881337399,2.534565128,1.752536886,-1.505297807,-0.825987314,2.811536666,1.717650465,13.22564
-2.28056402,-1.066735252,2.8403246,1.797803846,-2.084795222,-0.973246914,2.660579105,1.606370972,19.97654
0.545741707,0.377653832,-0.823496374,-0.310115312,0.116712814,0.080628001,0.116712814,0.080628001,0
-3.182977367,-1.573045702,4.361813297,2.660575336,-3.065081982,-1.699683384,4.31230046,2.472411147,25.08467
-0.117963751,0.059419249,0.448168152,0.431419696,0.16525848,0.129461967,0.16525848,0.129461967,0
-2.663642287,-1.487514245,4.482218778,2.468485296,-2.586239732,-1.56985147,4.994036955,2.572252452,18.39179
-0.063450062,-0.071693725,1.035584392,0.5409392,0.109367113,0.079832074,0.109367113,0.079832074,0
-0.007999924,0.032710837,0.50680182,0.245334768,0.104342586,0.072819071,0.104342586,0.072819071,0
-3.357472506,-1.772438852,5.099659537,2.898888316,-3.503293701,-2.032514658,5.766779523,3.040521578,22.08654
-2.179993791,-1.11762087,3.233168419,1.959582174,-2.361453717,-1.144571412,3.272844366,2.02841019,18.60394
-0.07470513,0.054061164,0.548215817,0.498101897,0.128598632,0.102815186,0.128598632,0.102815186,0
-2.193397147,-0.898985203,2.40050176,1.822879972,-2.310520119,-0.769752441,1.858851788,1.724721551,18.17476
-3.647876839,-1.794461461,5.010430609,3.183294816,-4.191018098,-2.179812553,5.303089415,3.550279639,23.4131
-2.65867748,-1.304136127,4.010835801,2.383760503,-2.913958645,-1.308955582,3.953719819,2.501033416,16.64809
-1.54705386,-0.549657121,1.560827102,1.199114292,-1.682994407,-0.504554904,1.31388082,1.310300514,12.98605
-2.852143595,-1.626636037,4.674788967,2.459547902,-2.390703762,-1.638108704,5.932699491,2.524768746,22.02713
-0.798502299,-0.340618238,1.144137079,0.700487925,-0.965700342,-0.333149125,1.420552254,0.913768537,12.20334
-1.87134959,-0.708751312,1.860662017,1.463089875,-1.876840663,-0.55760701,1.419729059,1.33717745,16.9983
-0.029393239,0.04237383,0.293331454,0.473519693,0.140003631,0.108793228,0.140003631,0.108793228,0
-2.558548635,-1.30223388,3.640137435,2.115730167,-2.315399953,-1.243544005,3.662813397,1.923691279,22.24655
0.240648165,0.252904248,-0.424407782,-0.082971989,0.110244565,0.080608775,0.110244565,0.080608775,0
-0.222082246,-0.002704002,0.534796531,0.377568717,0.139177488,0.099418542,0.139177488,0.099418542,0
-2.161396457,-0.954260863,2.690187733,1.807081195,-2.272515262,-0.893725933,2.582510914,1.725310271,17.46567
0.897167313,0.534539998,-0.995986203,-0.563361322,0.109900787,0.075082768,0.109900787,0.075082768,0
-2.837751754,-1.19293722,3.243337625,2.154609799,-2.024659292,-0.919254523,2.583594284,1.603706571,24.3914
-3.907014499,-2.018843824,5.526780465,3.28662533,-3.9392097,-2.410949742,7.227551399,3.717580735,25.62625
-3.042987315,-1.429043699,3.954713362,2.366601031,-2.689665762,-1.325857308,3.634000215,2.044790685,24.86927
-3.777375104,-1.871131652,5.189348214,3.075368781,-4.328741202,-2.221589008,5.721837819,3.371612297,24.02745
-2.569258025,-1.131154475,3.351238984,2.282898027,-2.313999388,-0.987265249,3.882516789,2.54409052,13.58474
-2.218054236,-1.041411987,2.908159095,1.886917515,-2.099698496,-0.989300287,2.7415078,1.720790496,19.82906
